x,y,z,u,v,w,u0,v0,w0,ZNCC,iteration,convergence,feature,ux,uy,uz,vx,vy,vz,wx,wy,wz
50,60,65,0.11875743,0.17991042,-0.43612519,0,0,0,0.96175081,10,0.0011658,0,0.00198305,0.00254897,0.00515833,0.00230098,0.00471199,0.00867339,-0.00023961,0.00395292,-0.015769
55,60,65,0.12018012,0.17830646,-0.42474794,0,0,0,0.96302974,10,0.00086934,0,0.0027591,0.00310888,0.00468796,0.00205514,0.00455761,0.0075403,-0.0004391,0.00427164,-0.01441133
60,60,65,0.13532521,0.17949553,-0.42452291,0,0,0,0.96310616,9,0.00073863,0,0.00235569,0.00352809,0.00481525,0.00157919,0.00413871,0.00680711,-0.00067716,0.00436494,-0.01349777
65,60,65,0.16348639,0.19721673,-0.43240017,0,0,0,0.96160465,8,0.00074967,0,0.00079703,0.00296995,0.00511826,0.00076808,0.00309551,0.00658673,-0.00080591,0.00469335,-0.0129407
35,65,65,0.12653357,0.16626486,-0.42505211,0,0,0,0.95835412,9,0.00067647,0,0.0001353,0.00131767,0.00491215,0.00281188,0.0092082,0.01043721,0.00120471,0.00267277,-0.01832354
40,65,65,0.16041814,0.20111419,-0.44267845,0,0,0,0.95670587,10,0.00065468,0,0.00027609,0.00166715,0.00692341,0.00253901,0.00818729,0.0122441,0.00112696,0.00297431,-0.01962221
45,65,65,0.10549413,0.18690787,-0.41639772,0,0,0,0.95729041,10,0.00175403,0,0.00194895,0.00311772,0.00557957,0.00324348,0.00880861,0.0116203,-0.00042979,0.00252679,-0.01851338
50,65,65,0.08000363,0.17837007,-0.38220522,0,0,0,0.95872957,10,0.00122638,0,0.00347817,0.00390931,0.00407927,0.00421969,0.00992858,0.01032529,-0.00116929,0.00227354,-0.01585954
55,65,65,0.09311409,0.20501283,-0.37359777,0,0,0,0.96006912,10,0.00078967,0,0.00420392,0.0036347,0.00361232,0.00322646,0.00944698,0.00964628,-0.00168981,0.00318071,-0.01403219
60,65,65,0.12061715,0.24176027,-0.3845911,0,0,0,0.96028733,9,0.0008369,0,0.00370979,0.00280076,0.00401013,0.00032747,0.0076772,0.0095595,-0.00155405,0.00442566,-0.01314837
65,65,65,0.14748485,0.270661,-0.40038165,0,0,0,0.959539,7,0.00072289,0,0.00241745,0.00131381,0.00457295,-0.00254012,0.00540435,0.00938173,-0.00123352,0.00547026,-0.01273358
35,35,70,0.082606,0.06876305,-0.67493683,0,0,0,0.96768975,7,0.00060111,0,-0.00009716,-0.00119159,-0.00074957,0.00092884,-0.00200963,0.00243374,0.00263707,0.00598132,-0.01749003
40,35,70,0.07771838,0.08176232,-0.6599077,0,0,0,0.96666354,7,0.00072613,0,0.00016785,-0.00120666,-0.00086994,0.00161456,-0.0021382,0.00296495,0.00262976,0.00669888,-0.01623905
45,35,70,0.06907621,0.09594876,-0.64181554,0,0,0,0.96535701,8,0.00057733,0,0.00165045,-0.00129971,-0.00094047,0.00279238,-0.00341862,0.00282537,0.00144153,0.00709367,-0.01579839
50,35,70,0.07941567,0.1106511,-0.6225937,0,0,0,0.96445817,8,0.00069753,0,0.00338387,-0.00115929,-0.00107137,0.00461901,-0.00462317,0.00298107,0.00090707,0.0077563,-0.01481944
55,35,70,0.09515446,0.12985675,-0.60419792,0,0,0,0.96461362,7,0.000398,0,0.00467014,-0.00197076,-0.00090613,0.00485756,-0.00417936,0.002678,0.00038463,0.00751948,-0.01322502
60,35,70,0.11010098,0.14586258,-0.60122865,0,0,0,0.96297669,6,0.00059776,0,0.0034349,-0.00205981,-0.00019006,0.00282408,-0.00172609,0.00254234,0.00025256,0.00664477,-0.01183641
65,35,70,0.12420618,0.16059203,-0.60438001,0,0,0,0.96184111,6,0.000711,0,0.00302982,-0.00205782,0.00017275,0.00185926,-0.00032139,0.00225181,-0.00026577,0.00605097,-0.01084363
35,40,70,0.08643896,0.06666202,-0.65795487,0,0,0,0.9693104,7,0.00043103,0,-0.00029993,-0.00102797,0.00025461,0.00115974,-0.00105488,0.00199427,0.00241131,0.00560694,-0.01786143
40,40,70,0.07102761,0.08443525,-0.63152587,0,0,0,0.96845949,7,0.00075782,0,0.00013447,-0.00187775,-0.00036856,0.00152566,-0.00074774,0.00279629,0.00225894,0.00683119,-0.01591212
45,40,70,0.06103116,0.09922846,-0.60875028,0,0,0,0.96684641,8,0.00054828,0,0.00220704,-0.0018017,-0.00014294,0.002522,-0.00169981,0.00289854,0.0012523,0.00746032,-0.01503867
50,40,70,0.07547305,0.1113755,-0.59087199,0,0,0,0.9659003,8,0.0005388,0,0.00370872,-0.00147023,-0.00029242,0.00423541,-0.00277638,0.00306003,0.00069601,0.00822084,-0.01426667
55,40,70,0.09670002,0.12073178,-0.57690895,0,0,0,0.96625304,7,0.00051922,0,0.00373888,-0.00128997,-0.00055982,0.00503295,-0.00366247,0.00286513,-0.00018462,0.00866952,-0.01328224
60,40,70,0.11042698,0.13568451,-0.57253653,0,0,0,0.96457976,6,0.00084098,0,0.00255048,-0.00099502,-0.00010139,0.0034909,-0.00221479,0.00278876,-0.0004149,0.00820333,-0.01200747
65,40,70,0.11778503,0.15494636,-0.57529986,0,0,0,0.96312296,6,0.00067293,0,0.00259197,-0.00139898,0.00023391,0.00229548,-0.00077742,0.00237874,-0.00077745,0.00759084,-0.01073235
35,45,70,0.08760269,0.0743878,-0.63976252,0,0,0,0.97036332,7,0.00030974,0,-0.00015497,-0.00063294,0.00059972,0.00115747,0.00010002,0.001923,0.00213311,0.00573789,-0.01793051
40,45,70,0.07604647,0.09927464,-0.60500669,0,0,0,0.96952444,7,0.00074628,0,0.0001713,-0.00123608,0.00009202,0.00147769,0.00078225,0.00297287,0.00205264,0.00729288,-0.01541412
