x,y,u,v,w,r1r2 ZNCC,r1t1 ZNCC,r1t2 ZNCC,r2_x,r2_y,t1_x,t1_y,t2_x,t2_y,ref_x,ref_y,ref_z,tar_y,tar_x,tar_z,exx,eyy,ezz,exy,eyz,ezx,
297.00000000,198.00000000,-4.00490952,-0.91371155,0.82119751,0.97687393,0.99442029,0.96855497,255.51612854,141.44622803,231.57238770,183.49934387,184.93675232,124.76406860,-34.35872269,-82.91954041,397.95928955,-38.36363220,-83.83325195,398.78048706,-0.01175336,-0.00709879,0.01390590,-0.02590046,-0.09575900,-0.06436917,
297.00000000,207.00000000,-3.98745728,-0.92021942,0.81759644,0.97503859,0.99422729,0.96589756,255.46780396,150.70370483,231.85656738,192.36203003,185.20858765,133.93130493,-34.34381866,-82.38356018,397.96746826,-38.33127594,-83.30377960,398.78506470,-0.00874179,-0.00592058,0.15348433,-0.02839882,-0.11605690,-0.04273808,
297.00000000,216.00000000,-3.96854401,-0.92605591,0.81454468,0.97048247,0.99322385,0.95899713,255.45138550,159.96510315,232.16842651,201.24069214,185.53027344,143.11160278,-34.32837296,-81.84718323,397.97048950,-38.29691696,-82.77323914,398.78503418,-0.00594514,-0.00430349,-0.01012331,-0.03333388,-0.14601509,-0.05116052,
297.00000000,225.00000000,-3.94807816,-0.93196106,0.80990601,0.97009850,0.99288362,0.95921910,255.39714050,169.22068787,232.51210022,210.12390137,185.84033203,152.27566528,-34.31359482,-81.31127167,397.97943115,-38.26167297,-82.24323273,398.78933716,0.00461111,-0.00303162,-0.13549823,-0.03121960,-0.14110307,-0.03812364,
297.00000000,234.00000000,-3.92699051,-0.93775940,0.80474854,0.96838349,0.99197310,0.95677990,255.35736084,178.47383118,232.86044312,219.00346375,186.18148804,161.44442749,-34.29864502,-80.77523804,397.98538208,-38.22563553,-81.71299744,398.79013062,0.00281901,0.00192856,0.01559091,-0.04446724,-0.21884124,-0.03182117,
297.00000000,243.00000000,-3.90511322,-0.94378662,0.79867554,0.96654236,0.99231452,0.95453668,255.29388428,187.75173950,233.22071838,227.87847900,186.51824951,170.63562012,-34.28370667,-80.23887634,398.00003052,-38.18881989,-81.18266296,398.79870605,-0.00415137,-0.00434232,-0.04658186,-0.02379407,-0.11384200,-0.05990858,
297.00000000,252.00000000,-3.88313293,-0.95056915,0.79547119,0.96866465,0.99311078,0.95791095,255.24737549,197.04473877,233.59318542,236.74848938,186.85838318,179.82440186,-34.26828766,-79.70204926,398.01409912,-38.15142059,-80.65261841,398.80957031,0.00310311,-0.01020638,-0.05428705,-0.00291527,-0.00228335,-0.04630825,
297.00000000,261.00000000,-3.86085892,-0.95772552,0.78823853,0.96919954,0.99343222,0.95866853,255.21426392,206.27734375,233.96517944,245.61346436,187.22569275,188.93865967,-34.25355911,-79.16628265,398.01513672,-38.11441803,-80.12400818,398.80337524,0.00152522,-0.01146282,0.14449956,0.00335621,0.02769581,-0.03543105,
297.00000000,270.00000000,-3.83807755,-0.96413422,0.78787231,0.97292221,0.99434847,0.96400642,255.17451477,215.56445312,234.34143066,254.47837830,187.58779907,198.14505005,-34.23812866,-78.62945557,398.02688599,-38.07620621,-79.59358978,398.81475830,0.02586975,-0.01132446,0.01339115,0.00278692,0.02975726,0.01198987,
297.00000000,279.00000000,-3.81492615,-0.97108459,0.78530884,0.97193176,0.99364817,0.96319401,255.14508057,224.79580688,234.72828674,263.34246826,187.96398926,207.27374268,-34.22334671,-78.09365082,398.02700806,-38.03827286,-79.06473541,398.81231689,0.01596799,-0.00980618,0.01332698,-0.00498014,-0.01304230,-0.01617863,
297.00000000,288.00000000,-3.79160690,-0.97779846,0.78106689,0.97365302,0.99385965,0.96581161,255.07699585,234.02914429,235.11268616,272.20571899,188.31564331,216.41198730,-34.20909500,-77.55812073,398.03497314,-38.00070190,-78.53591919,398.81604004,0.02083348,-0.01156069,0.17203555,0.00232854,0.02393117,0.00972092,
297.00000000,297.00000000,-3.76890564,-0.98487854,0.77951050,0.97226709,0.99345535,0.96348137,255.04252625,243.33541870,235.50073242,281.07385254,188.67248535,225.60881042,-34.19334412,-77.02074432,398.04913330,-37.96224976,-78.00562286,398.82864380,0.03693471,-0.01329578,0.49014109,0.00867373,0.05464251,0.07945060,
297.00000000,306.00000000,-3.74539185,-0.99143982,0.77395630,0.97202182,0.99356437,0.96340263,254.99670410,252.62985229,235.89379883,289.94680786,189.04858398,234.80226135,-34.17792130,-76.48365784,398.06335449,-37.92331314,-77.47509766,398.83731079,0.03321689,-0.01200732,0.53501868,0.00620139,0.03778172,0.07254677,
297.00000000,315.00000000,-3.72106171,-0.99721527,0.76361084,0.97023249,0.99375117,0.96100575,254.95858765,261.89416504,236.28834534,298.82553101,189.46743774,243.97927856,-34.16283035,-75.94712067,398.07073975,-37.88389206,-76.94433594,398.83435059,0.02288943,-0.01126943,0.20939013,0.00733099,0.04428538,0.01356499,
297.00000000,324.00000000,-3.69640350,-1.00376892,0.75894165,0.96975207,0.99337178,0.96095878,254.89935303,271.15509033,236.69944763,307.69644165,189.84829712,253.14300537,-34.14807892,-75.41078186,398.08184814,-37.84448242,-76.41455078,398.84078979,0.02290943,-0.01003772,-0.08097935,0.00324226,0.02327329,-0.01482552,
297.00000000,333.00000000,-3.67118073,-1.01031494,0.75665283,0.97069919,0.99390078,0.96344286,254.89704895,280.38958740,237.11602783,316.56445312,190.28881836,262.28598022,-34.13283920,-74.87464142,398.07760620,-37.80401993,-75.88495636,398.83425903,0.03049563,-0.01026387,-0.09235821,0.00213447,0.01804947,0.00247490,
297.00000000,342.00000000,-3.64583588,-1.01694489,0.74734497,0.97209376,0.99365038,0.96410418,254.87924194,289.65213013,237.53860474,325.44027710,190.73101807,271.43704224,-34.11743164,-74.33797455,398.08114624,-37.76326752,-75.35491943,398.82849121,0.03383389,-0.01038689,-0.00861084,0.00078754,0.01119198,0.01796232,
297.00000000,351.00000000,-3.62022781,-1.02376556,0.74322510,0.96873742,0.99231076,0.96072990,254.78356934,298.93469238,237.96997070,334.31072998,191.08930969,280.61645508,-34.10297012,-73.80126190,398.10263062,-37.72319794,-74.82502747,398.84585571,0.02362721,-0.00874475,-0.08888759,-0.00313347,-0.01232760,-0.01884394,
297.00000000,360.00000000,-3.59354782,-1.02999878,0.73837280,0.97044474,0.99273962,0.96260738,254.73040771,308.21337891,238.41510010,343.18920898,191.51062012,289.80239868,-34.08789444,-73.26435852,398.11553955,-37.68144226,-74.29435730,398.85391235,0.01627873,-0.00821434,-0.06089455,-0.00438827,-0.02205604,-0.03875260,
297.00000000,369.00000000,-3.56630325,-1.03613281,0.73788452,0.97268003,0.99297202,0.96582967,254.73713684,317.44604492,238.86895752,352.06539917,191.98739624,298.95141602,-34.07250977,-72.72816467,398.10952759,-37.63881302,-73.76429749,398.84741211,0.03955608,-0.00882797,-0.23158762,-0.00219323,-0.00576064,0.00634360,
297.00000000,378.00000000,-3.53844452,-1.04250336,0.73651123,0.97247219,0.99336708,0.96499056,254.69692993,326.71096802,239.33386230,360.93875122,192.43226624,308.12783813,-34.05745316,-72.19143677,398.11755371,-37.59589767,-73.23394012,398.85406494,0.04157595,-0.00899157,-0.18075514,-0.00196665,-0.00752959,0.01391463,
297.00000000,387.00000000,-3.50914001,-1.04897308,0.72830200,0.97300577,0.99357653,0.96544421,254.64120483,335.98928833,239.81201172,369.80541992,192.91433716,317.31430054,-34.04241943,-71.65446472,398.13107300,-37.55155945,-72.70343781,398.85937500,0.01862008,-0.00933707,-0.17511550,-0.00071610,-0.01070892,-0.05036350,
297.00000000,396.00000000,-3.47912979,-1.05613708,0.72335815,0.97088134,0.99320656,0.96291643,254.61384583,345.22299194,240.30911255,378.66598511,193.42019653,326.44174194,-34.02756500,-71.11837769,398.13146973,-37.50669479,-72.17451477,398.85482788,0.02478608,-0.01026486,-0.18800294,0.00159672,0.00131907,-0.03597281,
297.00000000,405.00000000,-3.44837570,-1.06365204,0.71856689,0.97477746,0.99390966,0.96753615,254.55760193,354.47955322,240.82318115,387.52481079,193.90626526,335.58270264,-34.01286697,-70.58185577,398.14120483,-37.46124268,-71.64550781,398.85977173,0.03254667,-0.01006388,-0.01577708,-0.00076773,-0.01235931,-0.00259137,
297.00000000,414.00000000,-3.41657639,-1.07096863,0.71319580,0.97393560,0.99395704,0.96669704,254.51733398,363.75103760,241.35260010,396.38433838,194.43078613,344.74395752,-33.99769211,-70.04487610,398.15078735,-37.41426849,-71.11584473,398.86398315,0.00536122,-0.01046749,0.19880819,0.00148497,-0.01609856,-0.06013628,
