x,y,u,v,w,r1r2 ZNCC,r1t1 ZNCC,r1t2 ZNCC,r2_x,r2_y,t1_x,t1_y,t2_x,t2_y,ref_x,ref_y,ref_z,tar_y,tar_x,tar_z,exx,eyy,ezz,exy,eyz,ezx,
234.00000000,243.00000000,-37.61074829,-19.87109375,393.41427612,0.96602720,0.00000000,0.00000000,187.27468872,186.25869751,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,252.00000000,-37.61051559,-19.34038734,393.41070557,0.97145462,0.00000000,0.00000000,187.23660278,195.54376221,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,261.00000000,-37.61047745,-18.80978394,393.40927124,0.97321528,0.00000000,0.00000000,187.18774414,204.82910156,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,270.00000000,-37.61038589,-18.27901077,393.40728760,0.97412646,0.00000000,0.00000000,187.14141846,214.11987305,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,279.00000000,-37.61104202,-17.74820137,393.41302490,0.97432876,0.00000000,0.00000000,187.05255127,223.42366028,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,288.00000000,-37.61046219,-17.21646118,393.40597534,0.97341412,0.00000000,0.00000000,187.03494263,232.74153137,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,297.00000000,-37.61011124,-16.68590355,393.40130615,0.97087133,0.00000000,0.00000000,187.00439453,242.02153015,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,306.00000000,-37.60985947,-16.15501785,393.39767456,0.97294104,0.00000000,0.00000000,186.96878052,251.31524658,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,315.00000000,-37.60923004,-15.62457752,393.39028931,0.97181803,0.00000000,0.00000000,186.95391846,260.58856201,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,324.00000000,-37.60888672,-15.09394169,393.38601685,0.97226787,0.00000000,0.00000000,186.92292786,269.87341309,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
