x,y,u0,v0,u,v,exx,eyy,exy,zncc,iteration,convergence,feature,
226.00000000,30.00000000,-0.46519941,-4.16081572,-0.47999179,-4.16932678,0.00000000,0.00000000,0.00000000,0.99506074,3.00000000,0.00094547,50.00000000,
228.00000000,30.00000000,-0.46370482,-4.16342068,-0.48174462,-4.16943216,0.00000000,0.00000000,0.00000000,0.99520087,4.00000000,0.00028520,52.00000000,
30.00000000,32.00000000,-0.40932992,-4.12417030,-0.41627046,-4.13861465,0.00000000,0.00000000,0.00000000,0.99743593,3.00000000,0.00074646,55.00000000,
32.00000000,32.00000000,-0.40993160,-4.12612009,-0.41444615,-4.14004230,0.00000000,0.00000000,0.00000000,0.99755222,3.00000000,0.00075234,53.00000000,
34.00000000,32.00000000,-0.41094324,-4.12709856,-0.41731104,-4.14166975,0.00000000,0.00000000,0.00000000,0.99761909,4.00000000,0.00028998,51.00000000,
36.00000000,32.00000000,-0.39869231,-4.13269758,-0.41829357,-4.14339924,0.00000000,0.00000000,0.00000000,0.99756676,4.00000000,0.00024320,45.00000000,
38.00000000,32.00000000,-0.40241629,-4.13605547,-0.41983414,-4.14533663,0.00000000,0.00000000,0.00000000,0.99747890,4.00000000,0.00018329,44.00000000,
40.00000000,32.00000000,-0.40592119,-4.14576721,-0.41960707,-4.14493608,0.00000000,0.00000000,0.00000000,0.99728251,4.00000000,0.00019254,51.00000000,
42.00000000,32.00000000,-0.40901735,-4.14428473,-0.42094252,-4.14090776,0.00000000,0.00000000,0.00000000,0.99716699,3.00000000,0.00098097,53.00000000,
44.00000000,32.00000000,-0.41060656,-4.14379358,-0.41819459,-4.13730526,0.00000000,0.00000000,0.00000000,0.99706590,3.00000000,0.00087106,53.00000000,
46.00000000,32.00000000,-0.41396824,-4.13957024,-0.42044580,-4.14002562,0.00000000,0.00000000,0.00000000,0.99715549,3.00000000,0.00065943,53.00000000,
48.00000000,32.00000000,-0.41480649,-4.14049196,-0.42096776,-4.14143801,0.00000000,0.00000000,0.00000000,0.99727935,3.00000000,0.00067676,53.00000000,
50.00000000,32.00000000,-0.41455835,-4.14096689,-0.42290956,-4.13475704,0.00000000,0.00000000,0.00000000,0.99732339,3.00000000,0.00058056,55.00000000,
52.00000000,32.00000000,-0.41519040,-4.14194822,-0.42435056,-4.13696909,0.00000000,0.00000000,0.00000000,0.99737298,3.00000000,0.00086427,52.00000000,
54.00000000,32.00000000,-0.41619745,-4.14342546,-0.42272156,-4.13919115,0.00000000,0.00000000,0.00000000,0.99739999,4.00000000,0.00021190,52.00000000,
56.00000000,32.00000000,-0.41939232,-4.14925623,-0.42289928,-4.14274883,0.00000000,0.00000000,0.00000000,0.99737060,4.00000000,0.00027103,57.00000000,
58.00000000,32.00000000,-0.42463511,-4.14698839,-0.42580372,-4.14190722,0.00000000,0.00000000,0.00000000,0.99739951,3.00000000,0.00053217,54.00000000,
60.00000000,32.00000000,-0.41647950,-4.14815235,-0.42316812,-4.14331722,0.00000000,0.00000000,0.00000000,0.99732256,4.00000000,0.00023201,53.00000000,
62.00000000,32.00000000,-0.41734931,-4.15313196,-0.42676914,-4.14889431,0.00000000,0.00000000,0.00000000,0.99737442,4.00000000,0.00026770,55.00000000,
