x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature,exx,eyy,exy
142,422,-0.41175842,-3.41881895,0,0,0.99553895,10,0.50355929,0,0.00241118,-0.0447998,0.00936266
144,422,-0.5213815,-3.66973257,0,0,0.9339518,10,0.9425202,0,-0.00271912,-0.0428031,0.01085942
146,422,-0.73568833,-3.78933835,1,0,0.91365278,10,0.4404062,0,-0.00436527,-0.03363227,0.0150321
148,422,-0.55270386,-3.52063942,0,0,0.95258719,10,1.18228269,0,-0.00777987,-0.03186954,0.01668144
150,422,-0.67093968,-3.61492014,0,0,0.93142104,10,0.99297833,0,-0.008392,-0.02265717,0.02265006
152,422,-0.54277861,-3.52267861,1,0,0.94368547,10,1.19554484,0,-0.01221297,-0.01446004,0.02603097
154,422,-0.45145023,-3.41713786,0,0,0.99329799,10,0.72940767,0,-0.00686023,-0.01488571,0.01937514
156,422,-0.46207863,-3.40766716,0,-3,0.99861193,4,0.0007268,0,-0.00930849,-0.01455665,0.01920103
158,422,-0.47466642,-3.39957142,0,-3,0.99857587,4,0.00064121,0,-0.01194809,-0.01518114,0.01735134
160,422,-0.47950223,-3.39554787,0,-3,0.99853224,4,0.00056326,0,-0.01305068,-0.0138009,0.01521459
162,422,-0.48725706,-3.38980651,0,-3,0.99850816,4,0.00024503,0,-0.01313043,-0.0140765,0.01461217
164,422,-0.49386919,-3.38076687,0,-3,0.99839658,5,0.00037438,0,-0.01319169,-0.01115708,0.01309677
166,422,-0.49512422,-3.37128448,0,-3,0.99831158,5,0.00065123,0,-0.01141225,-0.00852424,0.01380539
168,422,-0.50000584,-3.36010313,0,-3,0.99818349,5,0.00041097,0,-0.00713598,-0.0088585,0.01177846
170,422,-0.5034616,-3.34933925,0,-3,0.99806476,5,0.00069204,0,-0.00200106,-0.00873815,0.01069423
172,422,-0.50980663,-3.33657837,0,-3,0.99786377,5,0.00036857,0,-0.00123159,-0.00562907,0.00818914
174,422,-0.51229399,-3.32546592,0,-3,0.99768585,5,0.00077706,0,-0.00218627,-0.00230482,0.0068116
176,422,-0.51350558,-3.31518269,0,-3,0.99742877,5,0.00043826,0,0.00190688,-0.00321621,0.00526292
178,422,-0.51878291,-3.30525112,0,-3,0.99710196,5,0.00059085,0,0.00098464,-0.00152637,0.00431925
